step_percent,mean_exact,mean_estimate,rel_error_pct,std_estimate,rel_std_pct
10,9710.57,9633.64,0.792163,491.885,5.06546
20,19339.8,19419.4,0.411921,1027.43,5.31254
30,28940.4,29380.9,1.52199,1692.55,5.8484
40,38525.2,38681.9,0.40691,2364.86,6.13848
50,48088.5,48264.8,0.366663,3360.62,6.9884
60,57623.2,57462.7,0.278503,3425.21,5.94415
70,67144.5,66784.3,0.536522,3974.91,5.91994
80,76649.8,76986.4,0.439154,4981.63,6.49921
90,86140.1,85504.6,0.737711,5130.87,5.95642
100,95615.8,94841.9,0.809344,6384.92,6.67769
